symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
QQQ,2017-05-23 00:00:00+00:00,139.14,139.42,138.7801,139.42,19687534,134.2705791235,134.5407800877,133.9232743842,134.5407800877,19687534,0.0,1.0
QQQ,2017-05-24 00:00:00+00:00,139.78,139.85,139.17,139.56,16065013,134.8881813273,134.9557315683,134.2995292268,134.6758805697,16065013,0.0,1.0
QQQ,2017-05-25 00:00:00+00:00,140.97,141.33,140.01,140.315,23928591,136.036535425,136.3839366647,135.1101321193,135.4044581696,23928591,0.0,1.0
QQQ,2017-05-26 00:00:00+00:00,141.22,141.28,140.81,141.0,13851582,136.2777862859,136.3356864925,135.8821348741,136.0654855283,13851582,0.0,1.0
QQQ,2017-05-30 00:00:00+00:00,141.34,141.505,141.06,141.13,20306409,136.3935866991,136.5528122673,136.1233857349,136.190935976,20306409,0.0,1.0
QQQ,2017-05-31 00:00:00+00:00,141.29,141.84,140.57,141.8,33229404,136.3453365269,136.8760884208,135.6505340476,136.8374882831,33229404,0.0,1.0
QQQ,2017-06-01 00:00:00+00:00,141.84,141.9,140.98,141.57,20099562,136.8760884208,136.9339886274,136.0461854595,136.6155374911,20099562,0.0,1.0
QQQ,2017-06-02 00:00:00+00:00,143.46,143.49,142.11,142.34,37222881,138.4393939993,138.4683441026,137.1366393506,137.3585901426,37222881,0.0,1.0
QQQ,2017-06-05 00:00:00+00:00,143.43,143.68,143.23,143.44,15727526,138.4104438959,138.6516947568,138.2174432073,138.4200939304,15727526,0.0,1.0
QQQ,2017-06-06 00:00:00+00:00,142.86,143.73,142.65,143.28,22393024,137.8603919332,138.699944929,137.65774121,138.2656933794,22393024,0.0,1.0
QQQ,2017-06-07 00:00:00+00:00,143.42,143.54,142.6,143.23,18842408,138.4007938615,138.5165942747,137.6094910379,138.2174432073,18842408,0.0,1.0
QQQ,2017-06-08 00:00:00+00:00,143.57,143.8,142.79,143.74,25417408,138.545544378,138.76749517,137.7928416921,138.7095949634,25417408,0.0,1.0
QQQ,2017-06-09 00:00:00+00:00,139.98,143.9,138.11,143.74,1097837,135.081182016,138.8639955144,133.2766255767,138.7095949634,1097837,0.0,1.0
QQQ,2017-06-12 00:00:00+00:00,139.23,139.48,137.47,138.84,104453977,134.3574294334,134.5986802943,132.6590233729,133.9810780905,104453977,0.0,1.0
QQQ,2017-06-13 00:00:00+00:00,140.36,140.56,139.28,140.01,51193010,135.4478833245,135.6408840132,134.4056796056,135.1101321193,51193010,0.0,1.0
QQQ,2017-06-14 00:00:00+00:00,139.75,140.93,138.62,140.92,60093764,134.859231224,135.9979352873,133.7687773329,135.9882852529,60093764,0.0,1.0
QQQ,2017-06-15 00:00:00+00:00,139.13,139.28,137.49,138.35,55145160,134.2609290891,134.4056796056,132.6783234418,133.5082264032,55145160,0.0,1.0
QQQ,2017-06-16 00:00:00+00:00,138.15,138.777,137.638,138.72,48087413,133.6799970161,134.2867097061,133.1845633681,134.231554007,48087413,0.378,1.0
QQQ,2017-06-19 00:00:00+00:00,140.46,140.59,139.28,139.45,39626533,135.9152542952,136.0410479949,134.7734345595,134.937934013,39626533,0.0,1.0
QQQ,2017-06-20 00:00:00+00:00,139.36,140.5,139.31,140.31,40935078,134.850846067,135.9539600489,134.8024638749,135.7701077186,40935078,0.0,1.0
QQQ,2017-06-21 00:00:00+00:00,140.74,140.81,139.59,139.66,35743366,136.1861945714,136.2539296405,135.0734041511,135.1411392202,35743366,0.0,1.0
QQQ,2017-06-22 00:00:00+00:00,140.7,141.22,140.34,140.94,24099115,136.1474888177,136.6506636164,135.7991370339,136.3797233402,24099115,0.0,1.0
QQQ,2017-06-23 00:00:00+00:00,141.24,141.42,140.15,140.53,21654314,136.6700164933,136.8441923852,135.6152847036,135.9829893642,21654314,0.0,1.0
QQQ,2017-06-26 00:00:00+00:00,140.58,142.29,140.27,142.0,34411094,136.0313715564,137.6860425293,135.7314019649,137.4054258146,34411094,0.0,1.0
QQQ,2017-06-27 00:00:00+00:00,138.03,140.22,138.02,140.07,65957819,133.5638797548,135.6830197727,133.5542033164,135.5378731961,65957819,0.0,1.0
QQQ,2017-06-28 00:00:00+00:00,140.02,140.14,137.74,138.54,57427180,135.4894910039,135.6056082652,133.2832630401,134.0573781152,57427180,0.0,1.0
QQQ,2017-06-29 00:00:00+00:00,137.59,139.44,136.25,139.4,88769351,133.1381164636,134.9282575745,131.8414737129,134.8895518208,88769351,0.0,1.0
QQQ,2017-06-30 00:00:00+00:00,137.64,138.6687,137.19,138.0,68898255,133.1864986558,134.1819138779,132.7510589261,133.5348504395,68898255,0.0,1.0
QQQ,2017-07-03 00:00:00+00:00,136.190002,138.429993,136.100006,138.270004,32797000,131.7834170176,133.9509305188,131.6963329422,133.7961181479,32797000,0.0,1.0
QQQ,2017-07-05 00:00:00+00:00,137.53,137.9,136.16,136.57,42116584,133.080057833,133.4380860551,131.754385767,132.1511197429,42116584,0.0,1.0
QQQ,2017-07-06 00:00:00+00:00,136.29,137.06,135.8,136.47,48430476,131.8801794667,132.6252652264,131.4060339832,132.0543553586,48430476,0.0,1.0
QQQ,2017-07-07 00:00:00+00:00,137.76,138.13,136.74,136.74,36970402,133.302615917,133.6606441392,132.3156191964,132.3156191964,36970402,0.0,1.0
QQQ,2017-07-10 00:00:00+00:00,138.66,138.985,137.5,137.84,24853545,134.1734953764,134.4879796256,133.0510285176,133.3800274245,24853545,0.0,1.0
QQQ,2017-07-11 00:00:00+00:00,139.05,139.22,137.94,138.44,31517660,134.5508764755,134.7153759289,133.4767918089,133.9606137308,31517660,0.0,1.0
QQQ,2017-07-12 00:00:00+00:00,140.7,140.86,139.955,140.21,36045799,136.1474888177,136.3023118327,135.4265941541,135.6733433342,36045799,0.0,1.0
QQQ,2017-07-13 00:00:00+00:00,141.01,141.35,140.6,140.85,31073595,136.4474584093,136.7764573161,136.0507244333,136.2926353943,31073595,0.0,1.0
QQQ,2017-07-14 00:00:00+00:00,142.12,142.3,141.19,141.57,34544847,137.5215430758,137.6957189677,136.6216343011,136.9893389618,34544847,0.0,1.0
QQQ,2017-07-17 00:00:00+00:00,142.19,142.69,141.92,142.25,25343155,137.5892781449,138.0731000668,137.3280143071,137.6473367755,25343155,0.0,1.0
QQQ,2017-07-18 00:00:00+00:00,143.14,143.17,141.64,142.06,25651280,138.5085397965,138.5375691118,137.0570740308,137.4634844452,25651280,0.0,1.0
QQQ,2017-07-19 00:00:00+00:00,143.98,144.19,143.5,143.53,33752309,139.3213606252,139.5245658324,138.8568915802,138.8859208955,33752309,0.0,1.0
QQQ,2017-07-20 00:00:00+00:00,144.17,144.44,143.52,144.31,36139449,139.5052129556,139.7664767934,138.8762444571,139.6406830937,36139449,0.0,1.0
QQQ,2017-07-21 00:00:00+00:00,144.11,144.11,143.35,143.62,39697094,139.4471543249,139.4471543249,138.7117450037,138.9730088415,39697094,0.0,1.0
